date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1965-09-01,0.0263,0.0291,0.047,0.04650000000000001,0.0144,0.037000000000000005,0.0187,0.0317,0.028300000000000002,0.0444,0.0518,0.0364,0.052000000000000005,0.0342,-0.0021
1965-10-01,0.0581,0.0235,0.018000000000000002,0.057699999999999994,0.025699999999999997,0.0746,0.046,0.052300000000000006,0.014499999999999999,0.019799999999999998,0.0148,0.0592,0.056900000000000006,0.0434,0.0105
1965-11-01,0.0359,-0.009899999999999999,0.0018,-0.009399999999999999,0.0365,0.0333,0.0379,0.0007000000000000001,-0.013300000000000001,0.0026,0.0005,0.0097,-0.0197,0.031200000000000002,0.0412
1965-12-01,0.0278,0.0013,0.0222,0.0126,0.0167,0.030600000000000002,0.025699999999999997,0.038,-0.0108,0.0166,0.0323,0.021099999999999997,0.0079,0.0092,0.0233
1966-01-01,0.0446,0.006999999999999999,0.005600000000000001,0.0166,0.0031,0.0603,0.033,0.0335,-0.0021,0.012199999999999999,-0.0063,0.0315,0.008199999999999999,0.0403,-0.0292
1966-02-01,0.0046,-0.0048,-0.022799999999999997,0.0045000000000000005,-0.0026,-0.0027,0.0102,-0.0138,-0.0015,-0.027200000000000002,-0.0149,0.0181,-0.0034000000000000002,-0.0079,0.0022
1966-03-01,-0.0152,-0.0183,-0.0305,-0.024700000000000003,-0.0175,-0.0004,-0.0264,0.0073,-0.0274,-0.0345,-0.0233,-0.006,-0.035699999999999996,-0.013600000000000001,-0.0212
1966-04-01,0.0432,0.034300000000000004,0.0212,0.0108,0.0161,0.0548,0.0342,0.0421,0.031400000000000004,0.0213,0.021099999999999997,0.0338,-0.0032,0.0011,0.029900000000000003
1966-05-01,-0.0759,-0.041299999999999996,-0.0528,-0.062400000000000004,-0.0554,-0.084,-0.0695,-0.0483,-0.0388,-0.0527,-0.053099999999999994,-0.0553,-0.067,-0.073,-0.0395
1966-06-01,0.026699999999999998,-0.0128,-0.0165,-0.0073,-0.020499999999999997,0.0291,0.024900000000000002,-0.01,-0.0138,-0.0184,-0.013300000000000001,0.0049,-0.0151,-0.023,-0.0184
1966-07-01,-0.0005,-0.0103,-0.0092,-0.0144,-0.0415,-0.0051,0.0025,-0.0066,-0.0229,-0.0075,-0.0121,-0.0166,-0.013000000000000001,-0.06,-0.0044
1966-08-01,-0.08349999999999999,-0.061900000000000004,-0.0722,-0.095,-0.0729,-0.10400000000000001,-0.0706,-0.0613,-0.0637,-0.0788,-0.0613,-0.08839999999999999,-0.09960000000000001,-0.06509999999999999,-0.0876
1966-09-01,-0.0073,0.0027,-0.0152,-0.030299999999999997,-0.0294,-0.0023,-0.0104,0.005699999999999999,-0.0079,-0.009399999999999999,-0.0245,-0.031400000000000004,-0.0296,-0.031,-0.0263
1966-10-01,0.0366,0.0504,0.0433,0.012199999999999999,0.0308,0.0235,0.0446,0.055999999999999994,0.030600000000000002,0.0571,0.0207,0.0253,0.0033,0.0236,0.0446
1966-11-01,0.0398,-0.0001,0.0229,0.0592,0.042699999999999995,0.0751,0.018600000000000002,-0.0072,0.0255,0.0132,0.0393,0.032799999999999996,0.07769999999999999,0.0417,0.0446
1966-12-01,-0.0067,0.0048,0.0049,0.0232,-0.0288,0.0115,-0.0182,0.0011,0.018000000000000002,0.0088,-0.0015,0.048799999999999996,0.0060999999999999995,-0.0452,0.0021
1967-01-01,0.1057,0.07,0.092,0.1057,0.09759999999999999,0.0882,0.11720000000000001,0.0712,0.0661,0.0895,0.09609999999999999,0.0915,0.1157,0.09230000000000001,0.10710000000000001
1967-02-01,0.0069,0.01,0.0143,0.0297,0.017,0.0033,0.0092,0.0102,0.0092,0.0175,0.009000000000000001,0.022400000000000003,0.0347,0.0017000000000000001,0.044199999999999996
1967-03-01,0.044199999999999996,0.0414,0.04769999999999999,0.0684,0.0527,0.0506,0.0401,0.0443,0.0313,0.0414,0.0583,0.054400000000000004,0.07769999999999999,0.0581,0.0435
1967-04-01,0.053,0.043,0.0264,0.0542,0.0785,0.0467,0.0571,0.046799999999999994,0.0297,0.0129,0.048499999999999995,0.0493,0.0574,0.1015,0.0387
1967-05-01,-0.0421,-0.043899999999999995,-0.0425,-0.0352,-0.0533,-0.0455,-0.04,-0.0461,-0.0362,-0.0438,-0.0406,-0.025099999999999997,-0.04190000000000001,-0.06,-0.040999999999999995
1967-06-01,0.0435,0.0222,0.0048,0.0394,0.0482,0.0321,0.0506,0.0275,0.0032,-0.0024,0.016200000000000003,0.0466,0.0346,0.0259,0.08810000000000001
1967-07-01,0.0665,0.030299999999999997,0.0483,0.06709999999999999,0.06709999999999999,0.0663,0.0667,0.0109,0.0524,0.0564,0.0432,0.0683,0.0649,0.0673,0.0668
1967-08-01,-0.0091,-0.014199999999999999,-0.0017000000000000001,-0.0025,-0.0033,-0.017,-0.0011,-0.014499999999999999,-0.013999999999999999,0.005600000000000001,-0.0063,0.0004,-0.0077,-0.0014000000000000002,-0.0068000000000000005
1967-09-01,0.0184,0.0319,0.046900000000000004,0.0359,0.049,-0.0019,0.0391,0.015,0.0504,0.0304,0.0575,0.0345,0.0384,0.0524,0.0426
