date,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1965-06-01,-0.030699999999999998,-0.053200000000000004,-0.0509,-0.0545,-0.0478,-0.0507,-0.06509999999999999,-0.049100000000000005,-0.056600000000000004,-0.0407,-0.0644,-0.047,-0.0483,-0.048799999999999996,-0.052300000000000006,-0.0601,-0.0728
1965-07-01,0.0226,0.0242,0.017,0.0023,0.0375,0.0207,0.0054,0.008100000000000001,0.0288,0.0024,0.0022,0.0351,0.039,0.0285,0.0104,0.0019,0.0166
1965-08-01,0.0412,0.038900000000000004,0.0305,0.0169,0.048,0.028900000000000002,0.0194,0.0226,0.0406,0.0102,0.03,0.043899999999999995,0.0506,0.0256,0.0334,0.0115,0.0441
1965-09-01,0.0349,0.022400000000000003,0.0233,0.041299999999999996,0.0438,0.047599999999999996,0.0168,0.025099999999999997,0.021,0.053,0.0187,0.069,0.0281,0.0525,0.041100000000000005,0.0121,0.031
1965-10-01,0.0297,0.0364,0.029300000000000003,0.0409,0.030299999999999997,0.0229,0.0070999999999999995,0.0337,0.023700000000000002,0.0409,0.0408,0.024900000000000002,0.0338,0.0208,0.0258,-0.0037,0.0393
1965-11-01,0.0241,-0.0013,-0.0027,-0.0074,0.0124,0.020099999999999996,-0.0177,-0.0097,0.0062,-0.0297,0.036699999999999997,-0.001,0.021,0.0139,0.028399999999999998,-0.03,0.0176
1965-12-01,0.0108,0.0301,0.0177,0.0038,0.0016,0.0216,0.0039000000000000003,0.0212,0.0132,0.0097,-0.0069,0.0279,-0.0149,0.0143,0.031200000000000002,-0.0029,0.0223
1966-01-01,0.022000000000000002,0.0127,0.0147,-0.005,0.0158,0.013300000000000001,-0.004,0.0034000000000000002,0.0292,-0.003,-0.0088,0.0067,0.0218,0.0077,0.0206,-0.0092,0.009899999999999999
1966-02-01,-0.011399999999999999,-0.0232,-0.0189,-0.0204,0.0079,-0.005699999999999999,0.0028000000000000004,-0.0172,-0.021099999999999997,-0.0298,-0.0027,-0.0233,0.0281,0.0063,-0.021,-0.0015,0.013999999999999999
1966-03-01,-0.018000000000000002,-0.0004,-0.023700000000000002,-0.028900000000000002,-0.0033,-0.0192,-0.0384,-0.0287,-0.0175,-0.0405,-0.0076,-0.0098,0.0007000000000000001,-0.028399999999999998,-0.0072,-0.0395,-0.0355
1966-04-01,0.0287,0.0268,0.019,0.0086,0.051399999999999994,0.0217,0.0222,0.0097,0.0305,0.005600000000000001,0.0138,0.0473,0.0538,0.0256,0.0168,0.015700000000000002,0.0387
1966-05-01,-0.0626,-0.052000000000000005,-0.0489,-0.056299999999999996,-0.046,-0.0526,-0.039599999999999996,-0.0397,-0.06,-0.0621,-0.0462,-0.0646,-0.0348,-0.06480000000000001,-0.0368,-0.0326,-0.057
1966-06-01,0.0040999999999999995,-0.0086,-0.0166,-0.0222,-0.008100000000000001,-0.019,0.0051,-0.013500000000000002,-0.020499999999999997,-0.0258,-0.0161,0.0022,-0.0141,-0.0222,-0.0149,0.0067,0.001
1966-07-01,-0.0033,-0.011699999999999999,-0.0011,-0.0233,-0.020099999999999996,-0.0206,-0.0175,-0.0086,0.0062,-0.04,-0.0016,-0.0263,-0.0051,-0.0172,-0.0264,-0.0253,-0.0087
1966-08-01,-0.0637,-0.095,-0.0745,-0.0681,-0.0721,-0.0741,-0.08289999999999999,-0.0698,-0.0791,-0.0698,-0.0661,-0.0626,-0.0944,-0.0552,-0.1063,-0.07980000000000001,-0.0862
1966-09-01,0.022400000000000003,0.0168,-0.019,0.0011,-0.026000000000000002,-0.0078000000000000005,-0.0362,-0.0525,0.013500000000000002,-0.0051,0.0087,-0.032,-0.011399999999999999,-0.0159,0.0069,-0.0342,-0.0384
1966-10-01,0.0702,0.0669,0.0255,0.0406,0.027200000000000002,0.0638,0.0088,0.0478,0.0053,0.0426,0.0382,0.028999999999999998,0.022799999999999997,0.0842,0.027999999999999997,0.0089,0.0087
1966-11-01,-0.0059,0.0011,0.006,0.009000000000000001,0.0666,0.013600000000000001,0.06559999999999999,0.011699999999999999,0.0006,0.0079,0.0103,0.0825,0.0288,-0.0163,0.0691,0.0632,0.0684
1966-12-01,-0.0109,0.0285,0.0054,-0.0192,0.0015,0.0194,0.0183,0.012199999999999999,-0.0012,-0.0344,-0.0004,-0.005600000000000001,0.0192,0.025099999999999997,0.0097,0.0165,0.0204
1967-01-01,0.0636,0.0693,0.09140000000000001,0.076,0.0916,0.0809,0.1091,0.0832,0.09939999999999999,0.0684,0.085,0.0898,0.096,0.0764,0.0886,0.10619999999999999,0.11230000000000001
1967-02-01,-0.0015,-0.0070999999999999995,0.0036,0.0045000000000000005,0.0364,0.0189,0.0194,0.011399999999999999,-0.0038,-0.0052,0.0158,0.0455,0.0141,0.0176,0.0212,0.010700000000000001,0.028999999999999998
1967-03-01,0.0426,0.0297,0.0388,0.0263,0.0519,0.0564,0.064,0.0368,0.0407,0.0226,0.0304,0.0541,0.0466,0.049400000000000006,0.0682,0.0696,0.0579
1967-04-01,0.024399999999999998,0.0245,0.0547,0.056799999999999996,0.0821,0.017,0.0487,0.0276,0.0809,0.0666,0.0455,0.0823,0.0815,0.0091,0.0302,0.0594,0.0371
1967-05-01,-0.0292,-0.0296,-0.0536,-0.0481,-0.0458,-0.04769999999999999,-0.0341,-0.0501,-0.056799999999999996,-0.060899999999999996,-0.0333,-0.045,-0.048,-0.0519,-0.0409,-0.0444,-0.0229
1967-06-01,0.024700000000000003,0.0209,-0.0040999999999999995,0.0192,0.0391,0.0359,0.0424,0.0078000000000000005,-0.0151,0.011000000000000001,0.0285,0.0436,0.0275,0.042800000000000005,0.024900000000000002,0.023,0.0632
1967-07-01,0.0842,0.051699999999999996,0.0663,0.042699999999999995,0.0443,0.01,0.0496,0.0682,0.0625,0.0348,0.0591,0.0415,0.0461,-0.019,0.0381,0.0407,0.0576
1967-08-01,-0.008199999999999999,-0.0046,-0.0069,-0.0036,-0.0064,-0.0095,-0.0102,-0.0043,-0.0121,-0.0026,-0.0055000000000000005,-0.0044,-0.0076,-0.0104,-0.0086,0.0017000000000000001,-0.0206
1967-09-01,0.028300000000000002,0.0103,0.0414,0.0276,0.0352,0.049800000000000004,0.0242,0.0363,0.051699999999999996,0.0332,0.0161,0.018500000000000003,0.0454,0.0278,0.0699,0.0105,0.0364
1967-10-01,-0.04,-0.0453,-0.0315,-0.0233,-0.029300000000000003,0.0029,-0.035699999999999996,-0.022400000000000003,-0.049400000000000006,-0.0101,-0.050300000000000004,-0.0536,-0.0148,-0.030600000000000002,0.0322,-0.0484,-0.0245
1967-11-01,-0.0025,0.011399999999999999,-0.0068000000000000005,0.0143,0.008100000000000001,0.015700000000000002,0.0115,-0.0083,-0.0039000000000000003,0.0233,-0.0049,0.0018,0.0116,-0.0015,0.0298,0.0063,0.016
1967-12-01,0.0252,0.0336,0.0378,0.0342,0.036000000000000004,0.0197,0.0421,0.0353,0.0429,0.035,0.0322,0.0516,0.0273,0.0155,0.0229,0.031200000000000002,0.0513
1968-01-01,-0.0275,-0.009899999999999999,-0.0366,-0.0426,-0.0663,-0.0359,-0.0599,-0.0305,-0.0489,-0.04650000000000001,-0.034,-0.0492,-0.0761,-0.0167,-0.051,-0.054400000000000004,-0.0644
1968-02-01,-0.0301,-0.0262,-0.0212,-0.0315,-0.038,-0.0332,-0.0512,-0.0239,-0.015700000000000002,-0.0322,-0.0301,-0.0373,-0.0384,-0.033,-0.0334,-0.0479,-0.054000000000000006
1968-03-01,-0.0038,-0.0169,0.0029,0.0141,0.02,0.0168,0.0063,0.0033,0.0021,0.0148,0.0125,0.009899999999999999,0.026000000000000002,-0.0059,0.0352,0.0058,0.0068000000000000005
1968-04-01,0.0993,0.0699,0.07519999999999999,0.09449999999999999,0.1231,0.08650000000000001,0.1057,0.068,0.0897,0.0931,0.0974,0.1159,0.12710000000000002,0.0638,0.1043,0.0874,0.121
1968-05-01,0.0138,0.0325,-0.0027,0.038,0.0535,0.0208,0.0331,-0.0058,0.0033,0.043899999999999995,0.0252,0.0416,0.0602,-0.0042,0.039599999999999996,0.0407,0.0269
1968-06-01,0.016200000000000003,0.039900000000000005,0.010700000000000001,-0.0014000000000000002,-0.0079,0.011699999999999999,0.009300000000000001,0.0179,-0.0033,-0.0079,0.013000000000000001,-0.005,-0.0095,0.0264,0.0011,0.0334,-0.0106
1968-07-01,0.0103,-0.0028000000000000004,-0.016399999999999998,-0.0253,-0.0415,-0.0281,-0.0579,-0.0108,-0.0253,-0.011200000000000002,-0.04019999999999999,-0.0369,-0.044500000000000005,-0.035699999999999996,-0.0192,-0.044000000000000004,-0.0703
1968-08-01,0.022099999999999998,0.0165,0.0189,0.0113,0.0252,0.0123,0.014499999999999999,0.011200000000000002,0.0316,0.0175,0.004699999999999999,0.026699999999999998,0.0242,0.0152,0.0089,0.011699999999999999,0.017
1968-09-01,0.0384,0.0364,0.051,0.0351,0.0387,0.0513,0.049699999999999994,0.0492,0.0538,0.044500000000000005,0.024900000000000002,0.0433,0.0355,0.0359,0.069,0.0553,0.044500000000000005
1968-10-01,0.0199,0.025699999999999997,0.0239,-0.0091,0.0040999999999999995,-0.0102,0.0072,0.0366,0.0036,0.006999999999999999,-0.0271,0.0064,0.0025,0.002,-0.023799999999999998,0.0078000000000000005,0.006500000000000001
1968-11-01,0.0587,0.0599,0.0318,0.0625,0.058899999999999994,0.08650000000000001,0.0723,0.0259,0.0415,0.056900000000000006,0.0689,0.0677,0.0529,0.0819,0.0917,0.0643,0.0797
1968-12-01,-0.0405,-0.0226,-0.0382,-0.052199999999999996,-0.0298,-0.018799999999999997,-0.030699999999999998,-0.0375,-0.0392,-0.0519,-0.0525,-0.018600000000000002,-0.0375,-0.0264,-0.0102,-0.027000000000000003,-0.0341
1969-01-01,-0.0098,0.008,0.0101,-0.0183,-0.0053,-0.0233,-0.0226,0.0019,0.0233,0.0009,-0.0401,-0.0070999999999999995,-0.0040999999999999995,-0.0236,-0.0229,-0.016200000000000003,-0.0285
1969-02-01,-0.0407,-0.050199999999999995,-0.0382,-0.0379,-0.053,-0.0733,-0.0816,-0.0285,-0.053399999999999996,-0.0417,-0.0333,-0.0582,-0.049400000000000006,-0.06849999999999999,-0.0787,-0.0716,-0.0909
1969-03-01,0.044000000000000004,0.0181,0.0438,0.0335,0.0316,0.0229,0.0229,0.0378,0.0536,0.0128,0.057699999999999994,0.026699999999999998,0.035,0.0089,0.0387,0.019299999999999998,0.0262
